epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,813.407,0.87501,0.67369,1.22686,0.98998,0.96356,0.9761,0.78096,0.8105,0.41537,1.19482,0.001307,0.001307,0.001307
72,824.734,0.87098,0.66963,1.22077,0.995,0.97021,0.97576,0.76536,0.8355,0.43283,1.20473,0.0012971,0.0012971,0.0012971
73,836.146,0.86876,0.66236,1.22222,0.99501,0.97291,0.97524,0.78892,0.75449,0.39808,1.16857,0.0012872,0.0012872,0.0012872
74,847.554,0.87231,0.67894,1.22423,0.98005,0.96585,0.97534,0.77224,0.8135,0.42669,1.1915,0.0012773,0.0012773,0.0012773
75,858.981,0.86759,0.66722,1.22069,0.99218,0.97561,0.9765,0.79834,0.75974,0.39884,1.16915,0.0012674,0.0012674,0.0012674
76,870.156,0.85625,0.6596,1.22013,0.98763,0.97361,0.97572,0.76443,0.83596,0.40366,1.20678,0.0012575,0.0012575,0.0012575
77,881.642,0.86005,0.65496,1.21905,0.99751,0.97592,0.98205,0.76856,0.82591,0.41679,1.20323,0.0012476,0.0012476,0.0012476
78,892.969,0.86359,0.66177,1.22206,0.99416,0.97561,0.97592,0.79014,0.74873,0.38409,1.16494,0.0012377,0.0012377,0.0012377
79,904.386,0.86011,0.65806,1.21773,0.99749,0.97036,0.97451,0.77841,0.80152,0.43683,1.19073,0.0012278,0.0012278,0.0012278
80,915.742,0.84937,0.64918,1.21037,0.99699,0.97561,0.97581,0.77374,0.84182,0.41921,1.20403,0.0012179,0.0012179,0.0012179
81,927.225,0.8628,0.65628,1.21719,0.9998,0.97805,0.98582,0.77182,0.86501,0.42177,1.21913,0.001208,0.001208,0.001208
82,938.623,0.8594,0.65088,1.21527,0.99128,0.96829,0.97504,0.78347,0.78973,0.43421,1.18819,0.0011981,0.0011981,0.0011981
83,949.885,0.84746,0.65791,1.21334,0.99005,0.97119,0.97532,0.782,0.78651,0.41483,1.17817,0.0011882,0.0011882,0.0011882
84,961.185,0.85696,0.65502,1.21772,0.99749,0.97004,0.97529,0.79067,0.75612,0.37873,1.17373,0.0011783,0.0011783,0.0011783
85,972.628,0.84796,0.64382,1.21149,1,0.97491,0.98405,0.77975,0.79581,0.39577,1.1945,0.0011684,0.0011684,0.0011684
86,983.971,0.84742,0.64154,1.21083,0.997,0.97561,0.97503,0.78951,0.78156,0.40723,1.16884,0.0011585,0.0011585,0.0011585
87,995.263,0.84729,0.64295,1.20972,0.99502,0.97396,0.97505,0.80133,0.73035,0.37606,1.14992,0.0011486,0.0011486,0.0011486
88,1006.56,0.83804,0.63729,1.2061,0.99124,0.97317,0.97672,0.79264,0.77944,0.38798,1.1726,0.0011387,0.0011387,0.0011387
89,1017.86,0.84549,0.64217,1.21097,0.995,0.9706,0.975,0.78199,0.79809,0.40614,1.18452,0.0011288,0.0011288,0.0011288
90,1029.2,0.83586,0.6415,1.20373,0.99501,0.97343,0.97524,0.80644,0.73601,0.38979,1.14932,0.0011189,0.0011189,0.0011189
91,1040.46,0.84568,0.63893,1.20897,0.99458,0.97805,0.975,0.77011,0.82657,0.40657,1.20269,0.001109,0.001109,0.001109
92,1051.75,0.8512,0.63784,1.21135,0.99709,0.97805,0.97518,0.79875,0.74795,0.3967,1.1586,0.0010991,0.0010991,0.0010991
93,1063.09,0.82798,0.62301,1.198,0.99501,0.9728,0.97533,0.78729,0.79132,0.39279,1.18333,0.0010892,0.0010892,0.0010892
94,1074.46,0.83858,0.6351,1.20763,0.9972,0.97561,0.97504,0.79175,0.76752,0.37641,1.1656,0.0010793,0.0010793,0.0010793
95,1085.71,0.83956,0.62942,1.20678,0.99375,0.97317,0.97512,0.77885,0.79356,0.40582,1.18816,0.0010694,0.0010694,0.0010694
96,1097.22,0.84642,0.63373,1.2063,0.99681,0.97561,0.97493,0.78456,0.75537,0.38735,1.16125,0.0010595,0.0010595,0.0010595
97,1108.46,0.83445,0.63792,1.20433,0.99739,0.97317,0.97466,0.77969,0.82609,0.40623,1.20149,0.0010496,0.0010496,0.0010496
98,1119.72,0.83485,0.62525,1.20074,0.99501,0.97268,0.9753,0.78892,0.80763,0.40584,1.18762,0.0010397,0.0010397,0.0010397
99,1131.08,0.82984,0.62673,1.19987,0.99751,0.9779,0.97581,0.7929,0.75753,0.37066,1.16083,0.0010298,0.0010298,0.0010298
100,1142.3,0.8267,0.62257,1.19968,0.99249,0.96674,0.97661,0.75278,0.87787,0.4323,1.24785,0.0010199,0.0010199,0.0010199
101,1153.6,0.83457,0.62092,1.19929,0.9975,0.97299,0.97641,0.78553,0.80348,0.37284,1.1978,0.00101,0.00101,0.00101
102,1164.91,0.82715,0.62463,1.20031,0.99723,0.96585,0.97524,0.77266,0.82072,0.39678,1.20059,0.0010001,0.0010001,0.0010001
103,1176.36,0.83775,0.62717,1.2024,0.99692,0.97561,0.97561,0.77564,0.82781,0.40458,1.20574,0.0009902,0.0009902,0.0009902
104,1187.89,0.81823,0.61554,1.19428,0.99751,0.97777,0.97519,0.79026,0.76946,0.39284,1.17911,0.0009803,0.0009803,0.0009803
105,1199.08,0.82612,0.61938,1.20031,0.99198,0.97317,0.97489,0.78515,0.77902,0.37012,1.1722,0.0009704,0.0009704,0.0009704
106,1210.24,0.82799,0.6213,1.19701,0.99749,0.96977,0.97472,0.7882,0.7626,0.39579,1.17746,0.0009605,0.0009605,0.0009605
107,1221.63,0.82038,0.61209,1.19899,0.99708,0.97805,0.97636,0.7899,0.77151,0.3633,1.17162,0.0009506,0.0009506,0.0009506
108,1232.99,0.82624,0.61958,1.19694,0.99489,0.97561,0.97663,0.80338,0.74037,0.34896,1.15223,0.0009407,0.0009407,0.0009407
109,1244.32,0.81219,0.60333,1.19288,0.99445,0.97561,0.97535,0.7914,0.78207,0.37262,1.17479,0.0009308,0.0009308,0.0009308
110,1255.54,0.81525,0.60794,1.19122,0.99653,0.96585,0.97554,0.78684,0.78413,0.3985,1.18769,0.0009209,0.0009209,0.0009209
111,1266.93,0.8122,0.60656,1.19044,1,0.98006,0.9855,0.77851,0.79477,0.38946,1.19097,0.000911,0.000911,0.000911
112,1278.05,0.8189,0.61304,1.19138,0.99622,0.97561,0.97606,0.79279,0.77876,0.37801,1.17022,0.0009011,0.0009011,0.0009011
113,1289.41,0.80897,0.60048,1.1872,0.99463,0.97805,0.97585,0.78493,0.802,0.3781,1.1906,0.0008912,0.0008912,0.0008912
114,1300.77,0.81965,0.60633,1.19183,0.99751,0.97528,0.97563,0.79519,0.77312,0.38288,1.16381,0.0008813,0.0008813,0.0008813
115,1312.16,0.81749,0.6077,1.19191,0.99577,0.97561,0.97569,0.79076,0.76696,0.37737,1.16902,0.0008714,0.0008714,0.0008714
116,1323.58,0.80275,0.59844,1.18383,0.99517,0.97317,0.97494,0.7872,0.76514,0.37288,1.16683,0.0008615,0.0008615,0.0008615
117,1334.92,0.81365,0.60382,1.19005,0.99654,0.97805,0.97612,0.79048,0.77326,0.37625,1.16877,0.0008516,0.0008516,0.0008516
118,1346.32,0.81474,0.60178,1.18739,0.99309,0.97561,0.975,0.7997,0.74678,0.3686,1.16278,0.0008417,0.0008417,0.0008417
119,1357.69,0.80782,0.59392,1.18593,0.99461,0.97805,0.97526,0.80304,0.72993,0.35119,1.14347,0.0008318,0.0008318,0.0008318
120,1369.23,0.80305,0.59237,1.18445,0.99751,0.9774,0.97611,0.79832,0.76208,0.36138,1.15828,0.0008219,0.0008219,0.0008219
121,1380.61,0.80352,0.58724,1.18452,0.99751,0.97575,0.97563,0.78842,0.7759,0.36459,1.17257,0.000812,0.000812,0.000812
122,1391.82,0.79901,0.59279,1.18409,0.99315,0.97073,0.97471,0.77488,0.77853,0.38365,1.17358,0.0008021,0.0008021,0.0008021
123,1403.18,0.80533,0.59392,1.18676,0.99252,0.97148,0.9748,0.78988,0.74469,0.36472,1.15168,0.0007922,0.0007922,0.0007922
124,1414.66,0.81112,0.59109,1.18844,0.99561,0.97561,0.97594,0.78407,0.806,0.37219,1.18385,0.0007823,0.0007823,0.0007823
125,1426.16,0.79339,0.58218,1.18008,0.99474,0.97317,0.97522,0.78927,0.75958,0.3634,1.16729,0.0007724,0.0007724,0.0007724
126,1437.53,0.79924,0.58498,1.17975,0.99714,0.97805,0.97596,0.7867,0.77609,0.36483,1.17251,0.0007625,0.0007625,0.0007625
127,1449.04,0.80084,0.58517,1.18263,0.99698,0.97805,0.97607,0.7942,0.75882,0.35589,1.16314,0.0007526,0.0007526,0.0007526
128,1460.39,0.80227,0.58769,1.18476,0.99718,0.97561,0.97538,0.78403,0.77619,0.38899,1.17988,0.0007427,0.0007427,0.0007427
129,1471.64,0.80191,0.58796,1.18512,0.99647,0.97805,0.97559,0.79891,0.74167,0.3649,1.15386,0.0007328,0.0007328,0.0007328
130,1482.75,0.79106,0.58632,1.17945,0.99751,0.97783,0.97597,0.78646,0.77879,0.3609,1.16972,0.0007229,0.0007229,0.0007229
131,1494.15,0.79467,0.58256,1.17882,0.99669,0.97805,0.97628,0.79426,0.75459,0.34918,1.15876,0.000713,0.000713,0.000713
